Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Jumia Nigeria,Phones,itel,itel 2163 Wireless FM Torchlight Dual SIM - Black,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones,Kelly,28-11-2022,5 out of 5,I love it Very good
Jumia Nigeria,Phones,itel,itel 2163 Wireless FM Torchlight Dual SIM - Black,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones,Kefas,23-11-2022,5 out of 5,"I like it It very ok,, I like it"
Jumia Nigeria,Phones,itel,itel 2163 Wireless FM Torchlight Dual SIM - Black,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones,Sodiq,24-10-2022,5 out of 5,I love it Very good. Exactly what I wanted.
Jumia Nigeria,Phones,itel,itel 2163 Wireless FM Torchlight Dual SIM - Black,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones,Daniel,18-04-2022,5 out of 5,Satisfied Exactly what I thought it to be..
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Olanrewaju,21-02-2025,5 out of 5,Excellent device. Am enjoying it. Everything is perfect.
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Abdulmatin,21-02-2025,5 out of 5,Excelent Worth the price
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Akinbola,21-02-2025,4 out of 5,"It loving This product itel p55 5g was really excellent and cool the device work perfectly, fastly and smoothly,
I have been using this for over 1 week now no sign of lagging while playing some heavy games like COD and geshin impact even other functions work fastly too. I will recommend this phone for people who only believe in itel. This is the most lowest and budget 5g device you will get for this price. Keep the good work up itel"
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Unyime Etim,20-02-2025,5 out of 5,"Excellent Product I've been using the phone for about two weeks now, and here are my thoughts:

1. The camera is decent and gets the job done.
2. Battery life is solid—I charge it once a day, and it comfortably lasts until evening, even with fairly heavy use.
3. The fast charger works really well and powers up the phone quickly.
4. Performance has been impressive. The device runs smoothly with no signs of lag so far.
5. Overall, it's an excellent product and has exceeded my expectations."
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Josh,20-02-2025,4 out of 5,"Itel is really improving ❤️‍???????? I'm not trying to advertise for them but itel is really coming up with their products nowadays
This p55 5g is really great ????
Had some fears and doubt when buying it but I can boldly say I don't regret doing so

My only concern is the battery ????
Yes it's strong oo
But doesn't last long if I play my Call Of Duty Mobile with it????????????

Apart from this, it's superb????"
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Chukwuebuka,20-02-2025,4 out of 5,"Good Phone It is a nice phone.
I am enjoying it"
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Samuel Bisiga,17-02-2025,4 out of 5,Worth it The phone is everything. The 5G is real
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,David,17-02-2025,4 out of 5,Battery drains fast but super fast Battery drains fast but super fast and it's value for money
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Arthur,17-02-2025,4 out of 5,Lovely. Very nice & easy to operate. I love it.
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Lollipop,17-02-2025,5 out of 5,Great phone Works pretty well. You should get it.
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Samuel,17-02-2025,5 out of 5,I like it The product received is exactly what I ordered. Thank you
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,onamila,12-02-2025,5 out of 5,"my wife love it The phone 5G is super and its very fast and it has a strong battery, its one of the best itel new features phone"
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Cyrus,10-02-2025,5 out of 5,Very good products Bought it for my younger one
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Muideen,10-02-2025,4 out of 5,excellent Good
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Hyginus,10-02-2025,5 out of 5,best best I gave 5 stars because this phone is superb
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,PRINCE,10-02-2025,5 out of 5,Good Product Good phone for the few days I have used it.
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Joe,07-02-2025,5 out of 5,Satisfactory Enjoyable so far. Wish the camera was better though.
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Kazeem,07-02-2025,4 out of 5,"best phone The is a good product money can buy, wonderful machine, sleek and stylish, I love it, recommended for anyone who wants a good phone to buy"
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Okikiola,07-02-2025,5 out of 5,best 5g budget phone Nice phone
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Chukwunedum,06-02-2025,5 out of 5,YOU'RE GONNA LOVE IT! Very affordable durable smartphone.
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Agbatech,05-02-2025,1 out of 5,terrible battery The battery is worst
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Oluwatobi Ayeni,04-02-2025,5 out of 5,"Very good Works perfectly fine, good steal at this price"
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Uduak,03-02-2025,5 out of 5,I like it very good
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Damola Ayinde,03-02-2025,5 out of 5,nice and sleeq I got this phone mostly because of its chipset. So far it has not disappoint
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Gideon Chinedum,03-02-2025,5 out of 5,"Really really good The phone is a really dope phone for people looking for a good hone with low budget. It has all the specs as described on the store. Super fast charging, awesome cameras, does not lag, and network blows like the wind. It even comes with a full charger and durable earpieces. If you need a phone to work, this should be your go-to."
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Mutiu,03-02-2025,5 out of 5,dope Best and fastest
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Tosin,03-02-2025,4 out of 5,"I'm enjoying it Love it and works great,  but I don't any 5g in it"
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Janet,03-02-2025,5 out of 5,I love it. This perfectly suits the reason for my purchase. it is working great.
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Gani,03-02-2025,4 out of 5,itel P55 5G Satisfied so far
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Amaka,31-01-2025,5 out of 5,awesome Really nice phone. Totally worth it.
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Felix,31-01-2025,5 out of 5,phone character words are small to the eye Letter of phone character should be made bold
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Samson,30-01-2025,5 out of 5,Unexpectedly Phenomenal I bought it with the hope of just getting a phone to replace my old phone because others were out of my reach financially. But I was surprised. It was fast and came was clearer. Battery seemed to delete faster than my old phone but overall I am happy with it
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Ufuoma,30-01-2025,5 out of 5,Great Device The product is serving its purpose.
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,ABEL,29-01-2025,5 out of 5,itel p55 5g The phone is everything I wanted
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Medinat,29-01-2025,4 out of 5,is good for the price Improve on battery  ????
Jumia Nigeria,Phones,itel,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,122000,"5000mAh Mega Battery Powers up your whole day.
18W fast charging always ready to go.
128GB/6GB of Storage Higher efficiency.
50MP AI Clear Dual Camera P55 captures exhilarating moments with a 50MP AI Clear Dual camera
90Hz 6.6'' HD+ Punch Hole Display For an immersive experience
System: Android 13",SKU: IT724MP4J2V47NAFAMZProduct Line: itel NG-CODModel: P55 5GProduction Country: ChinaSize (L x W x H cm): 164 x 76 x 9.2mmWeight (kg): 0.2Color: BlueShop Type: Jumia Mall,Nehemiah,28-01-2025,5 out of 5,great Great
